,listing_id,image_file,prop_type,listing_price,beds,baths,sqft,address,city,state,zipcode
177,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m94325208xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
178,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m1251747099xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
179,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m3779701369xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
180,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m3159615858xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
181,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m3340046295xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
182,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m1513630983xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
183,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m2285140462xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
184,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m409042865xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
185,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m2544318201xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
186,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m3385594408xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
187,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m3535148219xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
